"Theta [deg]","dB(GainTotal) [] - Freq='0.1375GHz' Phi='0deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='5deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='10deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='15deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='20deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='25deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='30deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='35deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='40deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='45deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='50deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='55deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='60deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='65deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='70deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='75deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='80deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='85deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='90deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='95deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='100deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='105deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='110deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='115deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='120deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='125deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='130deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='135deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='140deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='145deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='150deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='155deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='160deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='165deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='170deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='175deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='180deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='185deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='190deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='195deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='200deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='205deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='210deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='215deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='220deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='225deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='230deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='235deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='240deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='245deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='250deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='255deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='260deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='265deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='270deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='275deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='280deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='285deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='290deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='295deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='300deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='305deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='310deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='315deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='320deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='325deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='330deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='335deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='340deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='345deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='350deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='355deg'","dB(GainTotal) [] - Freq='0.1375GHz' Phi='360deg'"
-180,-7.50077730198209,-7.5007773019821,-7.5007773019821,-7.5007773019821,-7.50077730198212,-7.5007773019821,-7.50077730198211,-7.50077730198209,-7.50077730198211,-7.5007773019821,-7.5007773019821,-7.5007773019821,-7.50077730198211,-7.5007773019821,-7.50077730198211,-7.50077730198211,-7.50077730198211,-7.5007773019821,-7.50077730198209,-7.50077730198211,-7.50077730198211,-7.50077730198211,-7.50077730198209,-7.50077730198209,-7.50077730198211,-7.5007773019821,-7.5007773019821,-7.5007773019821,-7.50077730198209,-7.5007773019821,-7.50077730198209,-7.50077730198211,-7.5007773019821,-7.5007773019821,-7.50077730198209,-7.50077730198209,-7.5007773019821,-7.5007773019821,-7.5007773019821,-7.5007773019821,-7.50077730198211,-7.5007773019821,-7.5007773019821,-7.5007773019821,-7.5007773019821,-7.5007773019821,-7.5007773019821,-7.5007773019821,-7.50077730198211,-7.50077730198211,-7.50077730198211,-7.50077730198212,-7.50077730198211,-7.50077730198211,-7.50077730198209,-7.50077730198211,-7.50077730198211,-7.50077730198211,-7.5007773019821,-7.5007773019821,-7.50077730198211,-7.50077730198211,-7.5007773019821,-7.5007773019821,-7.50077730198209,-7.50077730198211,-7.5007773019821,-7.5007773019821,-7.5007773019821,-7.5007773019821,-7.50077730198209,-7.5007773019821,-7.50077730198209
-179,-7.50742490499648,-7.49435821361648,-7.48032328057184,-7.46555345238856,-7.45033587943531,-7.43500276078799,-7.4199211320878,-7.40548164897684,-7.3920868197095,-7.38013911338405,-7.37002932158956,-7.3621254890375,-7.35676266102552,-7.35423362968569,-7.35478080282017,-7.35858927286836,-7.365781131436,-7.37641105727111,-7.39046320138897,-7.40784939964916,-7.42840875681865,-7.45190866259094,-7.4780473142763,-7.50645782790756,-7.53671401449147,-7.56833787688556,-7.6008088421727,-7.633574682939,-7.66606399917441,-7.69770003388836,-7.72791548617424,-7.75616787451213,-7.78195490214482,-7.80482919838422,-7.82441176748682,-7.84040348087631,-7.85259400534396,-7.86086766982185,-7.86520592998404,-7.86568628031432,-7.86247766939946,-7.85583267562534,-7.84607687738372,-7.83359598819863,-7.81882141261087,-7.80221490994952,-7.78425303378723,-7.76541195388931,-7.74615317725251,-7.72691057902179,-7.70807904550622,-7.69000493070701,-7.67297844204241,-7.6572280041475,-7.64291660231542,-7.63014007715527,-7.61892732516799,-7.60924235072432,-7.60098810742937,-7.59401205540086,-7.5881133408364,-7.58305147222004,-7.57855632248607,-7.57433922968272,-7.57010490392299,-7.56556378175095,-7.56044440833954,-7.55450538189012,-7.54754637163136,-7.53941772768441,-7.53002824164002,-7.51935069104642,-7.50742490499648
-178,-7.85073003319915,-7.81891649570286,-7.78076088402915,-7.73718708934265,-7.68934681737342,-7.6385667587125,-7.58629209317392,-7.53403028771816,-7.48329842958159,-7.43557640824691,-7.39226728384802,-7.35466528084234,-7.32393110393316,-7.30107372610649,-7.2869374527092,-7.28219290738576,-7.28733059183017,-7.30265581425249,-7.3282840333881,-7.36413599908504,-7.40993246176623,-7.46518864751801,-7.52920913024534,-7.60108415423835,-7.67968884472202,-7.76368706091026,-7.85154185782006,-7.94153458010815,-8.0317944516863,-8.12034007989114,-8.20513350065747,-8.28414622198323,-8.35543521372059,-8.41722507852816,-8.46799097312856,-8.50653557697151,-8.53205289850092,-8.54417225389539,-8.54297743288367,-8.52899868768926,-8.50317828920907,-8.4668133861303,-8.4214822016269,-8.36896082481565,-8.31113789980471,-8.24993355518781,-8.18722730064644,-8.12479774694116,-8.06427522846704,-8.00710695674425,-7.9545333170241,-7.90757334619843,-7.86701724298266,-7.83342387787572,-7.80712160477105,-7.78821115209525,-7.77656992541674,-7.77185763185233,-7.77352369025312,-7.78081737090937,-7.79280196223266,-7.80837443472904,-7.82629201140042,-7.8452067160308,-7.86370833834703,-7.88037534983298,-7.89383220286163,-7.90281028664028,-7.90620878574955,-7.90315100240616,-7.89303154805244,-7.87555028952453,-7.85073003319915
-177,-8.45300693924537,-8.39697192476173,-8.32576975642234,-8.24169408802673,-8.14752351409618,-8.04635020844182,-7.94141374555415,-7.8359531676669,-7.7330853112464,-7.63571278868284,-7.54646136912908,-7.46764392704,-7.40124649991416,-7.3489311127323,-7.31204969810722,-7.29166353318815,-7.28856304185476,-7.30328351991246,-7.3361132882375,-7.38709191471385,-7.45599740834574,-7.54232260697428,-7.64524228533722,-7.76357375363203,-7.89573488174203,-8.03970459035911,-8.19299193843504,-8.35262103033793,-8.51514000455738,-8.67666311223002,-8.83295484882278,-8.97956348046285,-9.11200717283017,-9.22600859205627,-9.31776348936336,-9.3842171164632,-9.42331274769054,-9.43417334937669,-9.41718372286181,-9.37395628668566,-9.30718508689813,-9.22041302301677,-9.11775041292296,-9.00358583235418,-8.88232367208811,-8.75817091225184,-8.63498267802204,-8.51616548821731,-8.40463016864721,-8.30278307286603,-8.21254361565812,-8.13537709663576,-8.07233350784419,-8.0240849537986,-7.99095623534722,-7.97294502153346,-7.96972990199463,-7.98066652843497,-8.00477403079581,-8.04071588684258,-8.08678132086405,-8.1408749202218,-8.20052321246825,-8.26290707486121,-8.32492762713853,-8.38331030207389,-8.4347469368681,-8.47606929004174,-8.50444033427669,-8.51754362300951,-8.51374787487364,-8.49222515059656,-8.45300693924537
-176,-9.15561712346862,-9.07475721758321,-8.96925604189876,-8.84322307357444,-8.70145651909731,-8.54911573183666,-8.39142863642958,-8.23344868460439,-8.07986748879571,-7.9348843254998,-7.8021304959826,-7.68464383633545,-7.58488606498357,-7.50479329157172,-7.44584821094188,-7.40916153742049,-7.39555025249755,-7.4056013037691,-7.43971147814794,-7.49809713804447,-7.58077107610311,-7.68748750991699,-7.81765975421127,-7.97025799240737,-8.14369661257891,-8.33572179754744,-8.54331072731681,-8.76259432824776,-8.98881656764495,-9.21634535048872,-9.43875315818585,-9.64898857108017,-9.83965977358203,-10.0034431579276,-10.1336090841641,-10.2246214722654,-10.2727259382795,-10.2764108773028,-10.2366288415635,-10.1567119374646,-10.041991785547,-9.89920965901102,-9.73584391432129,-9.55947775666287,-9.3772922789648,-9.19572062978522,-9.02025860478419,-8.85540343115164,-8.70468483128543,-8.57075483043982,-8.45550926700384,-8.36022058314189,-8.28566645547292,-8.2322420374808,-8.20004575082644,-8.18893062482724,-8.19851588890807,-8.22815722556604,-8.27687874595462,-8.34327503984141,-8.42539715564718,-8.52064165173642,-8.62566641030197,-8.73635988129043,-8.84789039715426,-8.95485714108229,-9.05155224096317,-9.1323236947745,-9.19200402738188,-9.22634650860341,-9.23239880485833,-9.20875057496539,-9.15561712346862
-175,-9.72152479543313,-9.6281607653421,-9.50563940915124,-9.35878443069083,-9.19307623123009,-9.01441343790251,-8.82888205478753,-8.64250697316144,-8.46099145418966,-8.28947477156074,-8.13234535494174,-7.99313764022955,-7.87452328742551,-7.77838948748802,-7.70598337780227,-7.65809335011482,-7.63523476676671,-7.63780860093944,-7.66620641637989,-7.72084354255939,-7.80211337168199,-7.91026773882667,-8.04523929336936,-8.20642987621328,-8.39249324988978,-8.60114099513391,-8.82899734992849,-9.07152269054318,-9.3230169662088,-9.5767054289418,-9.8249028493028,-10.0592534483473,-10.2710541450049,-10.4516833431101,-10.593161282418,-10.6888413028863,-10.734166189956,-10.7273419018034,-10.6697341981719,-10.5658316923511,-10.422743221817,-10.2493476934738,-10.0553098267701,-9.8501749239164,-9.64268128241297,-9.44033402563067,-9.24921319837526,-9.07395713826414,-8.91786151650875,-8.78304894473468,-8.67068003998265,-8.5811869471558,-8.51451286832905,-8.470338231047,-8.44826963963078,-8.44796575166657,-8.46917756453598,-8.51169003579492,-8.57516603029048,-8.65890944457597,-8.76157920583753,-8.8808980619016,-9.01340927830144,-9.15434007414355,-9.29763034282717,-9.43617318920646,-9.56228285398315,-9.66835295034238,-9.74760371226021,-9.79476766115309,-9.8065613444563,-9.78185147920557,-9.72152479543313
-174,-9.95546842737186,-9.87555534605026,-9.77250070934002,-9.64874977230965,-9.50697620920084,-9.35056423963897,-9.18391038230284,-9.01237669551118,-8.84189982960829,-8.67839916706937,-8.52717769106337,-8.39247491370357,-8.27725486802737,-8.18323727950142,-8.11112819336866,-8.06097832572251,-8.03258573036571,-8.02585870931044,-8.04106496763702,-8.0789153468773,-8.14046356348198,-8.22684069686611,-8.33887559195739,-8.47667287500951,-8.63922702019086,-8.82414583387484,-9.02754172782107,-9.24412305725406,-9.46747801800952,-9.69049295735335,-9.90580130815264,-10.1061469856207,-10.2845917551978,-10.4345954341119,-10.5501033553839,-10.6258147080496,-10.657727536928,-10.6438798762716,-10.5850290408948,-10.4849566425451,-10.3502121272029,-10.1893425926085,-10.0118526971692,-9.82718868699118,-9.64395247497124,-9.46941246935622,-9.30927147377125,-9.1676114488873,-9.04694753755351,-8.94835889735958,-8.87169471816977,-8.81586546011451,-8.77921855593302,-8.7599700725078,-8.75663083749862,-8.76834232203183,-8.795037442436,-8.83736951813832,-8.8964018486836,-8.97310441816893,-9.06774664489606,-9.17929822810715,-9.30495686845104,-9.43991837068546,-9.57749079352961,-9.70961631279347,-9.82778234523515,-9.92417368326957,-9.99278070047731,-10.0301213466892,-10.0353342661575,-10.0096445680792,-9.95546842737186
-173,-9.88867591204131,-9.84569048349424,-9.79605058817177,-9.73727142299027,-9.66594289868438,-9.57951403774703,-9.47777000518153,-9.36345403658213,-9.24186591307972,-9.11969839397922,-9.00361594204834,-8.89905187808033,-8.80950176219516,-8.73637770998323,-8.67934674776156,-8.63700620447291,-8.60771580319952,-8.590389021051,-8.5850531329028,-8.5930367969738,-8.61673803100096,-8.65903678432094,-8.72250393262012,-8.80859607411584,-8.9170158361299,-9.0453806486902,-9.18929236678082,-9.34282914931251,-9.49937503019213,-9.65257081308052,-9.79707079179081,-9.9288122826113,-10.0446952913769,-10.1418624474736,-10.2170058259462,-10.2661595751326,-10.2852243492605,-10.2710993682419,-10.2229534315381,-10.1430497036427,-10.0367445646865,-9.91169004878345,-9.77661584476753,-9.6401516131465,-9.50998773933494,-9.39242734223965,-9.29221013340532,-9.21244676900146,-9.15456189404365,-9.11824281871932,-9.1014731748306,-9.10076385502011,-9.11166499710693,-9.12955700187712,-9.1505978156423,-9.17259327725725,-9.19551706653008,-9.22147747276749,-9.25409286607534,-9.29742100362223,-9.35470641098552,-9.42723333387127,-9.51352861858878,-9.60909857275453,-9.70682529541288,-9.79806106405727,-9.87429338453016,-9.92900609352005,-9.95914437285421,-9.96559556484473,-9.95242835400335,-9.92515346124433,-9.88867591204131
-172,-9.76631025826815,-9.76837749341973,-9.7854890337344,-9.80995902746236,-9.83113144676825,-9.8386213331341,-9.82551783147404,-9.79035332849064,-9.73710623968106,-9.67341915962741,-9.60796173968977,-9.54799408459076,-9.49780270950859,-9.45820311063457,-9.4270009428588,-9.4001756542222,-9.373475596543,-9.34402596418441,-9.31149911478077,-9.27848250592078,-9.24993282942635,-9.23191949440864,-9.2300707513107,-9.24815964546616,-9.28715686121993,-9.34493867732935,-9.4167227448545,-9.49618047501982,-9.57698634529153,-9.65433151815877,-9.7257998741213,-9.79116324965641,-9.85111911521807,-9.90553328547643,-9.95204265299676,-9.98575959039111,-10.0003580261123,-9.99019027022233,-9.95254243749659,-9.8889992967827,-9.80532577071593,-9.71005077988817,-9.61253228840187,-9.52133489140815,-9.44335836893234,-9.38366966651558,-9.34568951768961,-9.33134580041357,-9.34096383266747,-9.37290214721352,-9.42315271445996,-9.48523798146987,-9.55072074596807,-9.61048005534484,-9.65660235142393,-9.68437466385776,-9.69364297247141,-9.68892442601698,-9.67814277467866,-9.67041280225839,-9.67359472029231,-9.69227733332801,-9.72659897470191,-9.77209171224055,-9.82060789551655,-9.86227180737852,-9.88816073560076,-9.89304643765218,-9.87723948419289,-9.84671194219655,-9.81132147028462,-9.78176155759797,-9.76631025826815
-171,-9.86294169315655,-9.90759433723655,-9.98973286510208,-10.0970762366096,-10.2115138589426,-10.3138154063022,-10.3890569487746,-10.430690506113,-10.4414471602862,-10.4308562687575,-10.4108901276739,-10.3917502457099,-10.3790938887519,-10.3730384163864,-10.3687592814592,-10.3583694131458,-10.3336703931639,-10.2891001653871,-10.2239325584057,-10.1428848805027,-10.054909839321,-9.97073633154846,-9.90013916535628,-9.84978052426865,-9.82205261273024,-9.8150148825959,-9.82336805131108,-9.84030275782047,-9.85982449488382,-9.87880256567567,-9.89781403420225,-9.92019636789734,-9.94955252659724,-9.98677825579359,-10.0280018038726,-10.0645284053071,-10.0851233035772,-10.0799342989986,-10.0443931269183,-9.98120407530772,-9.89948245137461,-9.8117099197969,-9.73020821893537,-9.66466414862115,-9.62130883142138,-9.60344158222745,-9.61250582822404,-9.64890065891904,-9.71202287428342,-9.79950586959974,-9.90606317102355,-10.0226189906184,-10.1364613287475,-10.23294212942,-10.2986942557378,-10.3254790437695,-10.3130574285564,-10.2695940855456,-10.2092569148846,-10.1480668469546,-10.0996433970955,-10.0720944205554,-10.0665509528024,-10.0773539993181,-10.0937591339384,-10.1029743352464,-10.0940860387045,-10.0619078441102,-10.0093747234439,-9.9473640811566,-9.8918554440938,-9.85947643063667,-9.86294169315655
